Country,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL (Jan - Dec)
Afghanistan,65,64,17,0,0,0,0,0,0,0,0,0,146
Albania,33,38,26,0,0,0,0,0,0,0,0,0,97
Algeria,34,41,8,0,0,0,0,0,0,0,0,0,83
Andorra,2,1,,0,0,0,0,0,0,0,0,0,3
Angola,1,1,1,0,0,0,0,0,0,0,0,0,3
Antigua And Barbuda,4,6,4,0,0,0,0,0,0,0,0,0,14
Argentina,224,140,52,0,0,0,0,0,0,0,0,0,416
Armenia,156,82,32,0,0,0,0,0,0,0,0,0,270
Australia,"8,115","9,578","2,590",0,0,0,0,0,0,0,0,0,"20,283"
Austria,"1,674","2,024",602,0,0,0,0,0,0,0,0,0,"4,300"
Azerbaijan,56,50,14,0,0,0,0,0,0,0,0,0,120
Bahamas,0,4,1,0,0,0,0,0,0,0,0,0,5
Bahrain,404,131,14,0,0,0,0,0,0,0,0,0,549
Bangladesh,"1,014",760,212,0,0,0,0,0,0,0,0,0,"1,986"
Barbados,2,6,1,0,0,0,0,0,0,0,0,0,9
Belarus,"1,099","1,101",438,0,0,0,0,0,0,0,0,0,"2,638"
Belgium,"1,243","1,500",628,0,0,0,0,0,0,0,0,0,"3,371"
Belize,2,3,0,0,0,0,0,0,0,0,0,0,5
Benin,0,2,0,0,0,0,0,0,0,0,0,0,2
Bhutan,137,69,2,0,0,0,0,0,0,0,0,0,208
Bolivia,12,3,3,0,0,0,0,0,0,0,0,0,18
Bosnia And Herzegovina,30,21,17,0,0,0,0,0,0,0,0,0,68
Botswana,11,2,1,0,0,0,0,0,0,0,0,0,14
Brazil,467,337,71,0,0,0,0,0,0,0,0,0,875
Brunei Darussalam,4,5,3,0,0,0,0,0,0,0,0,0,12
Bulgaria,305,303,79,0,0,0,0,0,0,0,0,0,687
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,1,0,0,0,0,0,0,0,0,0,0,1
Cambodia,146,152,74,0,0,0,0,0,0,0,0,0,372
Cameroon,3,2,1,0,0,0,0,0,0,0,0,0,6
Canada,"5,510","5,482","1,444",0,0,0,0,0,0,0,0,0,"12,436"
Central African,0,0,,,,,,,,,,,
Republic,,,1,0,0,0,0,0,0,0,0,0,1
Chad,0,0,1,0,0,0,0,0,0,0,0,0,1
Cape Verde,1,1,0,0,0,0,0,0,0,0,0,0,2
Chile,128,117,26,0,0,0,0,0,0,0,0,0,271
China,"22,363","2,096","1,688",0,0,0,0,0,0,0,0,0,"26,147"
Colombia,88,72,41,0,0,0,0,0,0,0,0,0,201
Comoros,6,9,2,0,0,0,0,0,0,0,0,0,17
Congo The Dem Repof The,3,35,0,0,0,0,0,0,0,0,0,0,38
Costa Rica,9,24,0,0,0,0,0,0,0,0,0,0,33
Cote Divoire,1,1,0,0,0,0,0,0,0,0,0,0,2
Croatia,331,250,81,0,0,0,0,0,0,0,0,0,662
Cuba,0,1,1,0,0,0,0,0,0,0,0,0,2
Cyprus,99,53,31,0,0,0,0,0,0,0,0,0,183
Czech Republic,"2,673","3,646","1,280",0,0,0,0,0,0,0,0,0,"7,599"
Denmark,"2,176","2,223",506,0,0,0,0,0,0,0,0,0,"4,905"
Djibouti,1,2,,0,0,0,0,0,0,0,0,0,3
Dominica,6,3,1,0,0,0,0,0,0,0,0,0,10
Dominican,3,0,,,,,,,,,,,
Republic,,,1,0,0,0,0,0,0,0,0,0,4
Ecuador,19,7,4,0,0,0,0,0,0,0,0,0,30
Egypt,404,400,152,0,0,0,0,0,0,0,0,0,956
El Salvador,0,4,1,0,0,0,0,0,0,0,0,0,5
Equatorial,0,0,,,,,,,,,,,
Guinea,,,0,0,0,0,0,0,0,0,0,0,0
Eritrea,2,5,2,0,0,0,0,0,0,0,0,0,9
Estonia,394,651,140,0,0,0,0,0,0,0,0,0,"1,185"
Ethiopia,9,21,6,0,0,0,0,0,0,0,0,0,36
Fiji,34,49,3,0,0,0,0,0,0,0,0,0,86
Finland,986,"1,037",275,0,0,0,0,0,0,0,0,0,"2,298"
France,"9,352","11,430","4,056",0,0,0,0,0,0,0,0,0,"24,838"
"Gambia, The",0,1,1,0,0,0,0,0,0,0,0,0,2
Gabon,1,,,0,0,0,0,0,0,0,0,0,1
Georgia,102,108,26,0,0,0,0,0,0,0,0,0,236
Germany,"11,494","16,405","6,608",0,0,0,0,0,0,0,0,0,"34,507"
Ghana,3,5,1,0,0,0,0,0,0,0,0,0,9
Greece,598,618,357,0,0,0,0,0,0,0,0,0,"1,573"
Grenada,3,5,8,0,0,0,0,0,0,0,0,0,16
Guatemala,6,1,0,0,0,0,0,0,0,0,0,0,7
Guinea,1,0,0,0,0,0,0,0,0,0,0,0,1
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,5,4,0,0,0,0,0,0,0,0,0,9
Haiti,2,1,0,0,0,0,0,0,0,0,0,0,3
Honduras,7,6,1,0,0,0,0,0,0,0,0,0,14
Hong Kong,8,0,2,0,0,0,0,0,0,0,0,0,10
Hungary,758,655,175,0,0,0,0,0,0,0,0,0,"1,588"
Iceland,48,38,28,0,0,0,0,0,0,0,0,0,114
India,"41,448","35,309","12,600",0,0,0,0,0,0,0,0,0,"89,357"
Indonesia,401,515,198,0,0,0,0,0,0,0,0,0,"1,114"
Iran,330,293,25,0,0,0,0,0,0,0,0,0,648
Iraq,71,52,15,0,0,0,0,0,0,0,0,0,138
Ireland,948,"1,084",262,0,0,0,0,0,0,0,0,0,"2,294"
