Country,January,February,March,April,May,June,July,August,September,October,November,TOTAL (Jan - Dec)
Afghanistan,26,21,18,0,20,2,15,18,5,7,5,137
Albania,7,6,13,10,11,7,11,13,6,8,10,102
Algeria,18,38,10,38,28,48,54,49,25,26,28,362
Andorra,3,6,10,1,7,6,20,25,23,14,3,118
Angola,8,0,2,1,5,0,0,2,1,2,3,24
Antigua and Barbuda,3,5,5,3,1,0,5,2,1,9,3,37
Argentina,141,79,120,102,44,51,50,43,45,91,66,832
Armenia,510,264,326,128,60,71,128,136,107,371,229,"2,330"
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Australia,"6,645","6,265","8,852","7,202","5,465","6,317","7,371","6,687","7,200","6,523","7,937","76,464"
Austria,"2,385","2,372","1,674","1,092",544,384,"1,722","1,150",757,917,"1,705","14,702"
Azerbaijan,163,157,469,101,39,83,150,97,100,98,438,"1,895"
Bahamas,0,0,4,0,0,3,3,0,1,4,1,16
Bahrain,122,81,29,85,68,197,162,140,54,64,86,"1,088"
Bangladesh,"2,329","2,389","1,308","2,354","2,878","4,374","4,607","3,877","4,178","3,732","3,375","35,401"
Barbados,0,1,13,2,0,5,4,3,0,7,1,36
Belarus,"2,342","1,884","1,665",752,195,175,203,199,177,504,"1,429","9,525"
Belgium,"1,313","1,577","1,565",914,549,872,"3,435","1,751","1,669",847,"1,390","15,882"
Belize,1,2,4,2,0,1,4,1,1,2,2,20
Benin,0,0,0,1,2,1,1,0,2,0,3,10
Bhutan,135,67,68,24,52,33,29,51,45,41,80,625
Bolivia,8,7,2,6,5,4,2,6,3,3,7,53
Bosnia and Herzegovina,37,66,17,18,15,10,18,19,26,14,18,258
Botswana,3,2,3,2,1,5,3,7,2,4,1,33
Brazil,236,212,159,239,106,111,134,129,100,125,186,"1,737"
Brunei Darussalam,1,11,9,4,3,15,7,6,0,2,1,59
Bulgaria,656,624,458,313,71,26,34,43,32,233,488,"2,978"
Burkina Faso,0,0,0,1,1,0,0,0,0,2,0,4
Burundi,0,0,1,0,1,1,0,1,3,0,1,8
Cambodia,42,41,531,162,82,50,24,25,55,59,53,"1,124"
Cameroon,1,4,4,1,0,0,2,0,0,4,2,18
Canada,"4,126","3,912","4,034","3,594","3,294","3,263","4,821","3,868","2,095","2,339","3,085","38,431"
Cape Verde,0,0,0,0,0,0,1,1,0,0,0,2
Chad,0,0,1,0,0,0,0,1,0,1,0,3
Central African Republic,0,0,29,0,0,0,1,1,0,0,0,31
Chile,56,61,77,53,42,32,36,42,32,40,34,505
China,"12,528","16,279","13,836","8,969","7,930","9,222","13,685","12,088","9,685","9,164","8,371","121,757"
Colombia,54,70,69,88,40,44,51,51,26,62,52,607
Comoros,6,6,3,2,10,8,17,14,5,13,4,88
Congo,2,5,0,0,2,3,2,3,0,0,4,21
Costa Rica,20,14,11,11,7,3,3,2,2,5,9,87
Cote Divoire,0,1,2,0,0,0,0,1,0,2,5,11
Croatia,281,249,200,70,35,23,78,133,95,110,217,"1,491"
Cuba,6,1,10,1,1,10,4,6,6,4,3,52
Cyprus,91,62,67,112,31,57,191,307,45,52,50,"1,065"
Czech Republic,"3,484","3,852","2,988","1,279",314,526,"1,133",822,496,729,"1,357","16,980"
Denmark,"2,542","2,160","1,497",822,410,714,"2,147",606,566,739,"1,036","13,239"
Djibouti,1,4,5,0,0,1,0,2,2,3,0,18
Dominica,7,9,14,8,11,9,17,6,2,14,18,115
Dominican Republic,8,1,3,1,4,3,1,2,1,5,0,29
Ecuador,9,13,7,9,8,9,11,1,11,13,7,98
Egypt,396,476,99,458,223,365,326,265,232,282,456,"3,578"
El Salvador,2,4,4,1,1,5,4,1,3,2,2,29
Equatorial Guinea,0,0,0,6,0,0,0,0,0,0,0,6
Eritrea,1,1,1,3,2,6,0,0,0,1,3,18
Estonia,910,898,690,236,11,30,24,15,45,131,234,"3,224"
Ethiopia,8,6,10,17,6,13,11,14,12,12,9,118
Fiji,16,9,11,26,13,9,9,7,2,10,26,138
Finland,737,666,464,238,159,130,94,100,165,215,534,"3,502"
France,"9,919","12,503","10,960","8,792","4,064","3,102","9,405","8,596","3,749","4,688","6,665","82,443"
Gabon,0,0,0,0,0,0,0,0,2,0,0,2
"Gambia, The",0,2,0,2,4,2,1,3,1,0,1,16
Georgia,216,187,148,132,39,26,30,26,27,24,99,954
Germany,"13,593","16,259","18,324","9,843","7,495","4,556","10,618","10,623","8,260","9,217","12,593","121,381"
Ghana,3,4,4,3,1,0,4,4,6,11,8,48
Greece,264,264,305,306,133,82,119,339,106,142,260,"2,320"
Grenada,1,0,2,2,0,5,2,5,3,3,7,30
Guatemala,2,10,2,6,6,5,1,3,4,4,6,49
Guinea-Bissau,0,0,1,0,0,0,1,0,2,0,0,4
Guinea,0,2,0,2,1,5,0,2,0,1,0,13
Guyana,0,1,4,0,0,3,1,2,3,9,2,25
Haiti,1,0,0,0,0,1,2,0,1,3,9,17
Honduras,1,1,1,2,2,0,2,2,2,2,2,17
Hungary,"1,544","1,311",585,237,78,160,210,261,137,431,648,"5,602"
Iceland,41,28,26,16,22,6,29,21,12,20,58,279
India,"34,399","30,027","31,853","27,304","32,254","28,631","41,173","33,031","27,884","36,417","41,120","364,093"
Indonesia,224,320,257,248,218,272,275,291,431,297,532,"3,365"
Iran,688,919,"3,589",426,280,318,339,883,"1,227",591,804,"10,064"
Iraq,54,74,21,58,101,93,119,172,81,64,79,916
Ireland,797,874,"1,008",846,315,673,715,586,434,706,703,"7,657"
Israel,773,"1,988","2,212","3,169","1,506","1,515","2,962","3,248","3,142","1,398",878,"22,791"
Italy,"3,485","3,194","2,502","2,245","1,010","1,792","3,630","9,586","1,902","1,431","2,237","33,014"
Jamaica,4,11,18,1,7,12,7,5,12,9,5,91
Japan,"1,993","2,666","2,575","1,949","1,581","1,666","2,202","4,102","3,526","2,392","2,178","26,830"
Jordan,180,227,85,313,149,373,275,173,151,315,224,"2,465"
Kazakhstan,"3,350","2,682","2,266",152,65,96,168,71,99,213,289,"9,451"
Kenya,42,64,80,45,45,29,128,54,79,42,62,670
Kiribati,0,0,1,0,0,0,0,0,0,0,0,1
Kosovar,1,4,3,3,5,2,1,1,6,3,4,33
Kuwait,231,222,59,225,77,231,198,207,119,70,96,"1,735"
Kyrgyzstan,239,219,108,50,32,25,65,21,35,34,95,923
"Lao, People's Democratic ",4,13,11,12,18,19,11,9,4,1,11,113
Latvia,750,654,670,146,22,30,30,23,29,152,435,"2,941"
Lebanon,155,293,242,671,216,308,283,244,163,110,332,"3,017"
Lesotho,0,1,3,0,0,0,1,1,3,0,0,9
Liberia,0,1,0,0,0,1,4,1,1,2,2,12
Libya,2,7,0,3,11,4,2,6,0,5,5,45
Liechtenstein,7,9,5,10,2,3,10,5,3,7,14,75
Lithuania,"1,015","1,601","1,219",401,69,73,174,111,92,285,488,"5,528"
Luxembourg,70,86,104,81,37,13,77,109,13,29,62,681
Macedonia,20,24,16,23,29,10,25,14,16,30,15,222
Madagascar,13,10,19,7,5,7,28,11,6,10,15,131
Malawi,3,0,5,3,4,1,10,2,2,5,11,46
Malaysia,"1,096","2,250","1,721","1,277","1,204","1,384","1,596","1,571","1,954","1,013","1,467","16,533"
Maldives,"2,919","3,235","1,562","2,938","8,040","5,109","3,097","3,198","4,359","2,880","2,982","40,319"
Mali,0,1,1,1,0,1,1,2,3,1,0,11
Malta,92,125,125,38,21,14,61,136,108,23,53,796
Marshall Islands,1,0,0,0,0,0,0,0,0,1,0,2
Mauritania,0,0,4,1,1,0,0,0,1,2,0,9
Mauritius,48,53,43,59,25,25,33,57,20,21,120,504
Micronesia ,0,0,1,0,0,0,0,1,0,1,0,3
Mexico,96,95,111,155,57,38,44,58,100,90,87,931
Moldova,134,166,92,81,8,2,13,11,6,18,55,586
Monaco,5,11,1,3,0,0,4,2,1,3,0,30
Mongolia,15,6,7,4,8,22,10,1,20,2,15,110
Montenegro,34,19,17,18,2,3,6,9,1,5,12,126
Morocco,62,103,35,131,59,80,87,112,78,100,74,921
Mozambique,2,2,5,1,7,4,1,1,2,3,1,29
Myanmar,106,101,110,125,83,117,194,417,33,82,65,"1,433"
Namibia,3,5,5,3,0,2,6,0,2,1,2,29
Nauru,0,0,2,0,0,0,0,0,0,0,0,2
Nepal,625,508,309,284,282,200,382,252,234,552,386,"4,014"
Netherlands,"4,531","4,011","3,707","3,437","1,845","1,935","11,431","5,355","3,725","2,859","3,387","46,223"
Netherlands Antilles,0,0,0,0,0,0,0,0,1,0,1,2
New Zealand,732,567,"1,032","1,116",664,853,"1,017","1,011","1,033",780,915,"9,720"
Nicaragua,1,1,1,1,0,1,0,0,1,0,1,7
Niger,0,1,0,1,0,0,0,0,0,0,0,2
Nigeria,1,11,3,9,0,1,9,5,18,7,19,83
Norway,"1,226","1,329","1,033",548,379,"1,452","1,800",486,443,442,783,"9,921"
Oman,236,116,28,125,139,322,685,473,185,155,170,"2,634"
Pakistan,956,"1,299",941,797,938,"1,399","1,848","1,040",556,"1,140","1,148","12,062"
Palau,0,0,0,0,0,0,0,0,33,0,0,33
Palestinian Territories,25,61,8,57,31,81,96,65,0,36,63,523
