Country,Total,Pleasure/Vacation,Visiting Friend and Relatives,MICE,Business,Health,Sports,Education,Religious,Official,Other or not responded
America,95263,37606,43511,2522,1984,225,187,62,174,11,8981
North America,91080,34872,43270,2016,1835,214,147,56,171,11,8488
Canada,43944,10355,29821,583,354,67,46,7,90,0,2621
Mexico,792,573,23,111,20,5,0,1,1,0,58
United States,46344,23944,13426,1322,1461,142,101,48,80,11,5809
Caribbean & Central America,701,396,95,77,25,0,27,2,0,0,79
Costa Rica,62,34,1,11,2,0,0,0,0,0,14
Jamaica,57,20,16,2,2,0,9,0,0,0,8
Others,582,342,78,64,21,0,18,2,0,0,57
South America,3482,2338,146,429,124,11,13,4,3,0,414
Argentina,687,483,18,62,11,2,1,0,0,0,110
Brazil,1337,929,65,142,65,5,7,1,2,0,121
Chile,394,274,9,56,4,1,0,1,0,0,49
Colombia,539,320,24,85,30,2,2,2,1,0,73
Others,525,332,30,84,14,1,3,0,0,0,61
Europe,757327,452998,103659,46519,7845,8701,1036,362,185,31,135991
Northern Europe,165485,87206,56966,3730,3256,366,432,69,85,3,13372
Denmark,10346,6935,2384,357,145,59,5,2,0,0,459
Finland,2287,1615,316,119,50,8,1,1,0,0,177
Norway,8747,3278,4455,265,201,19,4,4,2,0,519
Sweden,8643,5183,1868,421,318,54,9,2,1,0,787
United Kingdom,130088,66298,47397,2390,2421,201,389,58,78,3,10853
Others,5374,3897,546,178,121,25,24,2,4,0,577
Western Europe,233297,160338,36225,11187,2335,6445,228,78,63,7,16391
Austria,10594,8405,443,406,88,609,6,3,2,0,632
Belgium,10667,8622,677,636,153,21,9,0,2,0,547
France,56251,36997,10762,4207,623,161,102,25,18,3,3353
Germany,102539,70959,13061,3850,754,4682,71,27,22,4,9109
Netherlands,29056,22468,3549,1002,495,107,23,15,5,0,1392
Switzerland,23556,12377,7705,1058,217,844,16,8,14,0,1317
Others,634,510,28,28,5,21,1,0,0,0,41
Central / Eastern Europe,276921,147204,5640,21641,753,1630,151,63,29,19,99791
Belarus,10969,6038,187,939,14,6,1,0,0,0,3784
Czech Republic,12056,9829,217,1082,34,203,13,2,3,0,673
Estonia,1808,1496,31,119,20,12,2,0,0,0,128
Hungary,3786,3167,91,205,25,25,3,2,1,0,267
Kazakhstan,5130,2521,73,727,42,15,5,0,0,0,1747
Lithuania,2722,2115,44,270,29,33,3,0,0,1,227
Poland,17946,14022,278,1965,131,77,13,13,0,0,1447
Romania,4092,2984,170,326,158,14,2,3,1,0,434
Russian Federation,197498,91335,4011,13586,155,166,44,30,21,18,88132
Slovakia,4464,2997,63,203,22,991,2,0,0,0,186
Ukraine,5082,2851,235,774,39,31,7,5,3,0,1137
Others,11368,7849,240,1445,84,57,56,8,0,0,1629
Southern /Mediterranean Europe,81624,58250,4828,9961,1501,260,225,152,8,2,6437
Greece,1816,1191,71,137,166,6,4,3,0,0,238
Italy,22242,14758,3366,1495,629,78,24,43,4,1,1844
Portugal,3943,3083,134,312,62,15,5,2,0,0,330
Spain,23905,19457,461,2575,215,84,18,7,1,0,1087
Turkey,3739,2043,140,298,244,14,7,1,0,1,991
Israel,19517,12683,396,4519,97,16,163,93,1,0,1549
Others,6462,5035,260,625,88,47,4,3,2,0,398
Middle East,27830,16511,1139,2750,324,55,125,11,0,2,6913
Bahrain,1232,859,39,93,9,2,3,0,0,0,227
Egypt,3091,2243,93,535,109,5,9,2,0,0,95
Iraq,902,697,19,139,13,1,5,1,0,0,27
Jordan,3604,2868,76,377,57,5,5,1,0,0,215
Kuwait,1955,925,120,170,7,8,4,0,0,0,721
Lebanon,3347,2676,114,317,36,8,4,2,0,1,189
Oman,2038,907,138,146,19,5,6,0,0,1,816
Qatar,822,321,67,50,2,2,8,0,0,0,372
Saudi Arabia,6797,2669,285,588,40,7,43,1,0,0,3164
United Arab Emirates,2945,1558,156,176,15,6,2,1,0,0,1031
Others,1097,788,32,159,17,6,36,3,0,0,56
Africa,9950,5608,732,701,569,33,136,14,8,1,1948
North Africa,2621,1625,145,482,87,8,14,6,0,0,254
Morocco,789,490,62,133,31,5,6,1,0,0,61
Sudan,834,508,47,179,18,0,3,1,0,0,78
Others,998,627,36,170,38,3,5,4,0,0,115
Sub - Saharan Africa,7329,3983,587,219,482,25,122,8,8,1,1694
Kenya,613,357,114,57,61,0,1,0,1,1,21
Mauritius,471,328,61,20,17,0,3,1,0,0,41
Nigeria,93,12,20,5,51,0,2,1,0,0,2
South Africa,3444,2640,170,137,162,6,116,2,6,0,205
Others,2708,646,222,0,191,19,0,4,1,0,1425
Asia & Pacific,596933,339253,66354,29136,56606,728,3426,1091,2247,41,98051
North East Asia,100790,76470,3766,5309,6089,387,133,62,200,6,8368
China,68789,57230,1470,3711,3794,9,73,27,119,2,2354
Japan,19583,13739,1431,771,1648,371,23,12,13,1,1574
South Korea,7298,4277,631,737,627,6,30,23,59,1,907
Taiwan,4999,1156,231,72,0,1,4,0,9,2,3524
Others,121,68,3,18,20,0,3,0,0,0,9
South East Asia,36060,14897,3742,1810,2951,28,182,81,1135,3,11231
Cambodia,519,156,44,127,25,0,10,3,105,0,49
Indonesia,2352,908,299,219,423,4,22,25,59,0,393
Malaysia,10940,6450,1574,506,1014,13,120,23,251,3,986
Myanmar,1130,623,97,141,87,0,0,2,176,0,4
Philippines,4164,1929,1004,314,458,9,6,14,1,0,429
Singapore,9551,323,48,33,331,0,0,4,1,0,8811
Thailand,4922,3218,357,277,344,2,9,6,248,0,461
Vietnam,2307,1196,306,169,254,0,5,2,292,0,83
Others,175,94,13,24,15,0,10,2,2,0,15
South Asia,384448,216539,24125,20932,46276,193,2747,933,848,32,71823
Afghanistan,181,4,6,48,7,0,111,1,0,0,4
Bangladesh,17846,12661,625,1654,522,9,262,23,18,3,2069
Bhutan,433,156,26,52,37,0,0,1,25,4,132
India,302844,191827,21225,16939,44000,40,1621,863,694,25,25610
Iran,10322,1826,596,194,173,4,20,3,0,0,7506
Maldives,37328,677,510,47,41,105,1,3,0,0,35944
Nepal,4750,3011,295,577,309,6,169,20,100,0,263
Pakistan,10744,6377,842,1421,1187,29,563,19,11,0,295
Oceania,75635,31347,34721,1085,1290,120,364,15,64,0,6629
Australia,67436,27720,31312,927,1113,109,277,11,60,0,5907
New Zealand,7913,3522,3335,118,151,10,75,3,4,0,695
Others,286,105,74,40,26,1,12,1,0,0,27
Total,1487303,851976,215395,81628,67328,9742,4910,1540,2614,86,251884
